"InvoiceID","PayerAccountId","LinkedAccountId","RecordType","RecordID","BillingPeriodStartDate","BillingPeriodEndDate","InvoiceDate","PayerAccountName","LinkedAccountName","TaxationAddress","PayerPONumber","ProductCode","ProductName","SellerOfRecord","UsageType","Operation","RateId","ItemDescription","UsageStartDate","UsageEndDate","UsageQuantity","BlendedRate","CurrencyCode","CostBeforeTax","Credits","TaxAmount","TaxType","TotalCost"
"1793233257","736616688306","736616688306","LinkedLineItem","6800003688580069401","2024/07/01 00:00:00","2024/07/31 23:59:59","2024/08/02 16:52:45","greencf","greencf","","","AWSDataTransfer","AWS Data Transfer","Amazon Internet Services Pvt Ltd","APS3-APS2-AWS-Out-Bytes","","73417352888","$0.086 per GB - Asia Pacific (Mumbai) data transfer to Asia Pacific (Sydney)","2024/07/01 00:00:00","2024/07/31 23:59:59","0.00048038","","USD","0.0000410000","0.0","0.000008","GST","0.0000490000"
"1793233257","736616688306","736616688306","LinkedLineItem","6800003688580069402","2024/07/01 00:00:00","2024/07/31 23:59:59","2024/08/02 16:52:45","greencf","greencf","","","AWSDataTransfer","AWS Data Transfer","Amazon Internet Services Pvt Ltd","USE1-SEA1-AWS-Out-Bytes","","73417353961","$0 per GB - US East (N. Virginia) Data Transfer from US West (Seattle)","2024/07/01 00:00:00","2024/07/31 23:59:59","2.8E-7","","USD","0E-10","0.0","0.000000","None","0E-10"
"1793233257","736616688306","736616688306","LinkedLineItem","6800003688580069403","2024/07/01 00:00:00","2024/07/31 23:59:59","2024/08/02 16:52:45","greencf","greencf","","","AWSDataTransfer","AWS Data Transfer","Amazon Internet Services Pvt Ltd","USE1-SEA1-AWS-In-Bytes","","73417358215","$0 per GB - US East (N. Virginia) Data Transfer to US West (Seattle)","2024/07/01 00:00:00","2024/07/31 23:59:59","6.0E-7","","USD","0E-10","0.0","0.000000","None","0E-10"
"1793233257","736616688306","736616688306","LinkedLineItem","6800003688580069404","2024/07/01 00:00:00","2024/07/31 23:59:59","2024/08/02 16:52:45","greencf","greencf","","","AmazonCloudWatch","AmazonCloudWatch","Amazon Internet Services Pvt Ltd","APS3-CW:MetricMonitorUsage","","73476776479","$0.00 per metric-month - first 10 metrics","2024/07/01 00:00:00","2024/07/31 23:59:59","6.80241892","","USD","0E-10","0.0","0.000000","None","0E-10"
"1793233257","736616688306","736616688306","LinkedLineItem","6800003688580069405","2024/07/01 00:00:00","2024/07/31 23:59:59","2024/08/02 16:52:45","greencf","greencf","","","AWSMigrationHubRefactorSpaces","AWS Migration Hub Refactor Spaces","Amazon Internet Services Pvt Ltd","USW2-API-Request","ListEnvironments","65522331570","$0.0 per request for ListEnvironments API in US West (Oregon)","2024/07/01 00:00:00","2024/07/31 23:59:59","16.00000000","","USD","0E-10","0.0","0.000000","None","0E-10"
"1793233257","736616688306","736616688306","LinkedLineItem","6800003688580069406","2024/07/01 00:00:00","2024/07/31 23:59:59","2024/08/02 16:52:45","greencf","greencf","","","AWSDataTransfer","AWS Data Transfer","Amazon Internet Services Pvt Ltd","USE1-AFS1-AWS-Out-Bytes","","73417337524","USD 0.02 per GB for EUN1-AWS-Out-Bytes in Africa (Cape Town)","2024/07/01 00:00:00","2024/07/31 23:59:59","3.2E-7","","USD","0E-10","0.0","0.000000","None","0E-10"
"1793233257","736616688306","736616688306","LinkedLineItem","6800003688580069407","2024/07/01 00:00:00","2024/07/31 23:59:59","2024/08/02 16:52:45","greencf","greencf","","","AWSDataTransfer","AWS Data Transfer","Amazon Internet Services Pvt Ltd","APS3-DataTransfer-Out-Bytes","","73417202435","$0.000 per GB - data transfer out under the monthly global free tier","2024/07/01 00:00:00","2024/07/31 23:59:59","69.52880026","","USD","0E-10","0.0","0.000000","None","0E-10"
"1793233257","736616688306","736616688306","LinkedLineItem","6800003688580069408","2024/07/01 00:00:00","2024/07/31 23:59:59","2024/08/02 16:52:45","greencf","greencf","","","AWSDataTransfer","AWS Data Transfer","Amazon Internet Services Pvt Ltd","USE1-PHX1-AWS-In-Bytes","","73417325125","$0 per GB - US East (N. Virginia) Data Transfer to US West (Phoenix)","2024/07/01 00:00:00","2024/07/31 23:59:59","3.4E-7","","USD","0E-10","0.0","0.000000","None","0E-10"
"1793233257","736616688306","736616688306","LinkedLineItem","6800003688580069409","2024/07/01 00:00:00","2024/07/31 23:59:59","2024/08/02 16:52:45","greencf","greencf","","","AWSDataTransfer","AWS Data Transfer","Amazon Internet Services Pvt Ltd","USE1-APS1-AWS-In-Bytes","","73417352929","$0.00 per GB - US East (Northern Virginia) data transfer from Asia Pacific (Singapore)","2024/07/01 00:00:00","2024/07/31 23:59:59","0.00002882","","USD","0E-10","0.0","0.000000","None","0E-10"
"1793233257","736616688306","736616688306","LinkedLineItem","6800003688580069410","2024/07/01 00:00:00","2024/07/31 23:59:59","2024/08/02 16:52:45","greencf","greencf","","","AWSDataTransfer","AWS Data Transfer","Amazon Internet Services Pvt Ltd","APS3-EU-AWS-In-Bytes","","73417344359","$0.00 per GB - Asia Pacific (Mumbai) data transfer from EU (Ireland)","2024/07/01 00:00:00","2024/07/31 23:59:59","0.02118412","","USD","0E-10","0.0","0.000000","None","0E-10"
"1793233257","736616688306","736616688306","LinkedLineItem","6800003688580069411","2024/07/01 00:00:00","2024/07/31 23:59:59","2024/08/02 16:52:45","greencf","greencf","","","AWSDataTransfer","AWS Data Transfer","Amazon Internet Services Pvt Ltd","APS3-APN3-AWS-In-Bytes","","73417340304","$0.00 per GB - Asia Pacific (Mumbai) data transfer from Asia Pacific (Osaka)","2024/07/01 00:00:00","2024/07/31 23:59:59","0.00258089","","USD","0E-10","0.0","0.000000","None","0E-10"
"1793233257","736616688306","736616688306","LinkedLineItem","6800003688580069412","2024/07/01 00:00:00","2024/07/31 23:59:59","2024/08/02 16:52:45","greencf","greencf","","","awskms","AWS Key Management Service","Amazon Internet Services Pvt Ltd","ap-northeast-3-KMS-Requests","","66466567891","$0.00 per request - Monthly Global Free Tier for KMS requests","2024/07/01 00:00:00","2024/07/31 23:59:59","6.00000000","","USD","0E-10","0.0","0.000000","None","0E-10"
"1793233257","736616688306","736616688306","LinkedLineItem","6800003688580069413","2024/07/01 00:00:00","2024/07/31 23:59:59","2024/08/02 16:52:45","greencf","greencf","","","awskms","AWS Key Management Service","Amazon Internet Services Pvt Ltd","ap-southeast-1-KMS-Requests","","66466567893","$0.00 per request - Monthly Global Free Tier for KMS requests","2024/07/01 00:00:00","2024/07/31 23:59:59","6.00000000","","USD","0E-10","0.0","0.000000","None","0E-10"
"1793233257","736616688306","736616688306","LinkedLineItem","6800003688580069414","2024/07/01 00:00:00","2024/07/31 23:59:59","2024/08/02 16:52:45","greencf","greencf","","","AWSDataTransfer","AWS Data Transfer","Amazon Internet Services Pvt Ltd","APS3-APS1-AWS-Out-Bytes","","73417356070","$0.086 per GB - Asia Pacific (Mumbai) data transfer to Asia Pacific (Singapore)","2024/07/01 00:00:00","2024/07/31 23:59:59","26.58789642","","USD","2.2865590000","0.0","0.414277","GST","2.7008360000"
"1793233257","736616688306","736616688306","LinkedLineItem","6800003688580069415","2024/07/01 00:00:00","2024/07/31 23:59:59","2024/08/02 16:52:45","greencf","greencf","","","AmazonLightsail","Amazon Lightsail","Amazon Internet Services Pvt Ltd","APS3-TotalDataXfer-In-Bytes","","66466517793","$0.00 / GB - data transfer in","2024/07/01 00:00:00","2024/07/31 23:59:59","0.19353530","","USD","0E-10","0.0","0.000000","None","0E-10"
"1793233257","736616688306","736616688306","LinkedLineItem","6800003688580069416","2024/07/01 00:00:00","2024/07/31 23:59:59","2024/08/02 16:52:45","greencf","greencf","","","awskms","AWS Key Management Service","Amazon Internet Services Pvt Ltd","ap-northeast-2-KMS-Requests","","66466567890","$0.00 per request - Monthly Global Free Tier for KMS requests","2024/07/01 00:00:00","2024/07/31 23:59:59","7.00000000","","USD","0E-10","0.0","0.000000","None","0E-10"
"1793233257","736616688306","736616688306","LinkedLineItem","6800003688580069417","2024/07/01 00:00:00","2024/07/31 23:59:59","2024/08/02 16:52:45","greencf","greencf","","","AWSDataTransfer","AWS Data Transfer","Amazon Internet Services Pvt Ltd","DataTransfer-Out-Bytes","","73417202453","$0.000 per GB - data transfer out under the monthly global free tier","2024/07/01 00:00:00","2024/07/31 23:59:59","0.11508940","","USD","0E-10","0.0","0.000000","None","0E-10"
"1793233257","736616688306","736616688306","LinkedLineItem","6800003688580069418","2024/07/01 00:00:00","2024/07/31 23:59:59","2024/08/02 16:52:45","greencf","greencf","","","AWSSecretsManager","AWS Secrets Manager","Amazon Internet Services Pvt Ltd","APN1-AWSSecretsManagerAPIRequest","","66319417767","$0 per 10000 API Requests","2024/07/01 00:00:00","2024/07/31 23:59:59","6.00000000","","USD","0E-10","0.0","0.000000","None","0E-10"
"1793233257","736616688306","736616688306","LinkedLineItem","6800003688580069419","2024/07/01 00:00:00","2024/07/31 23:59:59","2024/08/02 16:52:45","greencf","greencf","","","AWSMigrationHubRefactorSpaces","AWS Migration Hub Refactor Spaces","Amazon Internet Services Pvt Ltd","EUW2-API-Request","ListEnvironments","65522331567","$0.0 per request for ListEnvironments API in EU (London)","2024/07/01 00:00:00","2024/07/31 23:59:59","16.00000000","","USD","0E-10","0.0","0.000000","None","0E-10"
